period_init,v_kick,bound?,tighten?,circularize?
1.0,1.0,1.0,1.0,0.0
1.0,6.040404040404041,1.0,1.0,0.0
1.0,11.080808080808081,1.0,1.0,0.0
1.0,16.12121212121212,1.0,1.0,0.0
1.0,21.161616161616163,1.0,1.0,0.0
1.0,26.202020202020204,1.0,1.0,0.0
1.0,31.242424242424242,1.0,1.0,0.0
1.0,36.282828282828284,1.0,1.0,0.0
1.0,41.323232323232325,1.0,1.0,0.0
1.0,46.36363636363637,1.0,1.0,0.0
1.0,51.40404040404041,1.0,1.0,0.0
1.0,56.44444444444445,1.0,0.979,0.017
1.0,61.484848484848484,1.0,0.915,0.069
1.0,66.52525252525253,1.0,0.87,0.102
1.0,71.56565656565657,1.0,0.812,0.151
1.0,76.60606060606061,1.0,0.795,0.155
1.0,81.64646464646465,1.0,0.728,0.216
1.0,86.68686868686869,1.0,0.713,0.223
1.0,91.72727272727273,1.0,0.705,0.242
1.0,96.76767676767678,1.0,0.694,0.248
1.0,101.80808080808082,1.0,0.663,0.271
1.0,106.84848484848486,1.0,0.631,0.282
1.0,111.8888888888889,1.0,0.615,0.289
1.0,116.92929292929294,1.0,0.599,0.323
1.0,121.96969696969697,1.0,0.583,0.306
1.0,127.01010101010101,1.0,0.57,0.312
1.0,132.05050505050505,1.0,0.559,0.313
1.0,137.0909090909091,1.0,0.513,0.368
1.0,142.13131313131314,1.0,0.49,0.37
1.0,147.17171717171718,1.0,0.514,0.345
1.0,152.21212121212122,1.0,0.453,0.394
1.0,157.25252525252526,1.0,0.459,0.391
1.0,162.2929292929293,1.0,0.453,0.358
1.0,167.33333333333334,1.0,0.446,0.389
1.0,172.37373737373738,1.0,0.426,0.395
1.0,177.41414141414143,1.0,0.399,0.409
1.0,182.45454545454547,1.0,0.404,0.389
1.0,187.4949494949495,1.0,0.388,0.399
1.0,192.53535353535355,1.0,0.365,0.433
1.0,197.5757575757576,1.0,0.356,0.42
1.0,202.61616161616163,1.0,0.377,0.409
1.0,207.65656565656568,1.0,0.357,0.391
1.0,212.69696969696972,1.0,0.315,0.415
1.0,217.73737373737376,1.0,0.334,0.383
1.0,222.7777777777778,1.0,0.314,0.3
1.0,227.81818181818184,1.0,0.311,0.278
1.0,232.85858585858588,1.0,0.297,0.274
1.0,237.89898989898992,1.0,0.278,0.237
1.0,242.93939393939394,1.0,0.274,0.235
1.0,247.97979797979798,1.0,0.24,0.238
1.0,253.02020202020202,1.0,0.255,0.212
1.0,258.06060606060606,1.0,0.23,0.193
1.0,263.1010101010101,1.0,0.235,0.169
1.0,268.14141414141415,1.0,0.201,0.176
1.0,273.1818181818182,1.0,0.216,0.202
1.0,278.22222222222223,0.974,0.21971252566735114,0.17659137577002054
1.0,283.26262626262627,0.969,0.20639834881320948,0.17234262125902994
1.0,288.3030303030303,0.927,0.18338727076591155,0.18985976267529667
1.0,293.34343434343435,0.901,0.17314095449500555,0.1609322974472808
1.0,298.3838383838384,0.9,0.18,0.16555555555555557
1.0,303.42424242424244,0.85,0.17529411764705882,0.14588235294117646
1.0,308.4646464646465,0.835,0.16047904191616766,0.1473053892215569
1.0,313.5050505050505,0.814,0.17567567567567569,0.1511056511056511
1.0,318.54545454545456,0.805,0.15403726708074533,0.16521739130434782
1.0,323.5858585858586,0.776,0.13659793814432988,0.1559278350515464
1.0,328.62626262626264,0.766,0.15013054830287206,0.16318537859007834
1.0,333.6666666666667,0.77,0.12727272727272726,0.17922077922077922
1.0,338.7070707070707,0.737,0.10312075983717775,0.14789687924016282
1.0,343.74747474747477,0.704,0.09375,0.16193181818181818
1.0,348.7878787878788,0.691,0.09985528219971057,0.18958031837916064
1.0,353.82828282828285,0.666,0.07357357357357357,0.15765765765765766
1.0,358.8686868686869,0.66,0.08636363636363636,0.17272727272727273
1.0,363.90909090909093,0.614,0.06188925081433225,0.19381107491856678
1.0,368.949494949495,0.629,0.04292527821939587,0.13990461049284578
1.0,373.989898989899,0.598,0.03511705685618729,0.1956521739130435
1.0,379.03030303030306,0.615,0.01788617886178862,0.191869918699187
1.0,384.0707070707071,0.582,0.010309278350515464,0.20103092783505155
1.0,389.11111111111114,0.559,0.0,0.22898032200357782
1.0,394.1515151515152,0.538,0.0,0.2174721189591078
1.0,399.1919191919192,0.527,0.0,0.2428842504743833
1.0,404.23232323232327,0.511,0.0,0.25440313111545987
1.0,409.2727272727273,0.493,0.0,0.23732251521298176
1.0,414.31313131313135,0.472,0.0,0.2605932203389831
1.0,419.3535353535354,0.488,0.0,0.2807377049180328
1.0,424.39393939393943,0.453,0.0,0.23178807947019867
1.0,429.4343434343435,0.434,0.0,0.2672811059907834
1.0,434.4747474747475,0.413,0.0,0.2784503631961259
1.0,439.51515151515156,0.428,0.0,0.2803738317757009
1.0,444.5555555555556,0.409,0.0,0.293398533007335
1.0,449.59595959595964,0.365,0.0,0.2356164383561644
1.0,454.6363636363637,0.365,0.0,0.31232876712328766
1.0,459.6767676767677,0.362,0.0,0.26519337016574585
1.0,464.71717171717177,0.391,0.0,0.24296675191815856
1.0,469.7575757575758,0.315,0.0,0.27936507936507937
1.0,474.79797979797985,0.319,0.0,0.29153605015673983
1.0,479.8383838383839,0.284,0.0,0.23591549295774647
1.0,484.8787878787879,0.306,0.0,0.27450980392156865
1.0,489.9191919191919,0.272,0.0,0.23897058823529413
1.0,494.95959595959596,0.253,0.0,0.1976284584980237
1.0,500.0,0.252,0.0,0.20634920634920634
11.090909090909092,1.0,1.0,1.0,0.0
11.090909090909092,6.040404040404041,1.0,1.0,0.0
11.090909090909092,11.080808080808081,1.0,1.0,0.0
11.090909090909092,16.12121212121212,1.0,1.0,0.0
11.090909090909092,21.161616161616163,1.0,1.0,0.0
11.090909090909092,26.202020202020204,1.0,0.95,0.037
11.090909090909092,31.242424242424242,1.0,0.836,0.129
11.090909090909092,36.282828282828284,1.0,0.74,0.196
11.090909090909092,41.323232323232325,1.0,0.694,0.239
11.090909090909092,46.36363636363637,1.0,0.628,0.264
11.090909090909092,51.40404040404041,1.0,0.605,0.287
11.090909090909092,56.44444444444445,1.0,0.552,0.32
11.090909090909092,61.484848484848484,1.0,0.536,0.325
11.090909090909092,66.52525252525253,1.0,0.525,0.306
11.090909090909092,71.56565656565657,1.0,0.471,0.369
11.090909090909092,76.60606060606061,1.0,0.427,0.378
11.090909090909092,81.64646464646465,1.0,0.415,0.405
11.090909090909092,86.68686868686869,1.0,0.392,0.396
11.090909090909092,91.72727272727273,1.0,0.357,0.412
11.090909090909092,96.76767676767678,1.0,0.319,0.393
11.090909090909092,101.80808080808082,1.0,0.293,0.297
11.090909090909092,106.84848484848486,1.0,0.308,0.225
11.090909090909092,111.8888888888889,1.0,0.27,0.222
11.090909090909092,116.92929292929294,1.0,0.236,0.184
11.090909090909092,121.96969696969697,1.0,0.212,0.173
11.090909090909092,127.01010101010101,0.97,0.1979381443298969,0.16804123711340208
11.090909090909092,132.05050505050505,0.917,0.1624863685932388,0.1777535441657579
11.090909090909092,137.0909090909091,0.847,0.18417945690672963,0.15702479338842976
11.090909090909092,142.13131313131314,0.824,0.16747572815533981,0.1662621359223301
11.090909090909092,147.17171717171718,0.791,0.12895069532237674,0.1706700379266751
11.090909090909092,152.21212121212122,0.757,0.1215323645970938,0.154557463672391
11.090909090909092,157.25252525252526,0.663,0.10708898944193061,0.16591251885369532
11.090909090909092,162.2929292929293,0.653,0.0781010719754977,0.15313935681470137
11.090909090909092,167.33333333333334,0.605,0.05785123966942149,0.18512396694214875
11.090909090909092,172.37373737373738,0.535,0.005607476635514018,0.19626168224299065
11.090909090909092,177.41414141414143,0.539,0.0,0.24860853432282004
11.090909090909092,182.45454545454547,0.507,0.0,0.2504930966469428
11.090909090909092,187.4949494949495,0.46,0.0,0.22391304347826088
11.090909090909092,192.53535353535355,0.486,0.0,0.24691358024691357
11.090909090909092,197.5757575757576,0.432,0.0,0.22916666666666666
11.090909090909092,202.61616161616163,0.391,0.0,0.289002557544757
11.090909090909092,207.65656565656568,0.352,0.0,0.29545454545454547
11.090909090909092,212.69696969696972,0.318,0.0,0.25471698113207547
11.090909090909092,217.73737373737376,0.287,0.0,0.2787456445993031
11.090909090909092,222.7777777777778,0.255,0.0,0.23137254901960785
11.090909090909092,227.81818181818184,0.209,0.0,0.15311004784688995
11.090909090909092,232.85858585858588,0.182,0.0,0.21978021978021978
11.090909090909092,237.89898989898992,0.167,0.0,0.1377245508982036
11.090909090909092,242.93939393939394,0.156,0.0,0.08974358974358974
11.090909090909092,247.97979797979798,0.112,0.0,0.0
11.090909090909092,253.02020202020202,0.089,0.0,0.0
11.090909090909092,258.06060606060606,0.077,0.0,0.0
11.090909090909092,263.1010101010101,0.057,0.0,0.0
11.090909090909092,268.14141414141415,0.019,0.0,0.0
11.090909090909092,273.1818181818182,0.0,,
11.090909090909092,278.22222222222223,0.0,,
11.090909090909092,283.26262626262627,0.0,,
11.090909090909092,288.3030303030303,0.0,,
11.090909090909092,293.34343434343435,0.0,,
11.090909090909092,298.3838383838384,0.0,,
11.090909090909092,303.42424242424244,0.0,,
11.090909090909092,308.4646464646465,0.0,,
11.090909090909092,313.5050505050505,0.0,,
11.090909090909092,318.54545454545456,0.0,,
11.090909090909092,323.5858585858586,0.0,,
11.090909090909092,328.62626262626264,0.0,,
11.090909090909092,333.6666666666667,0.0,,
11.090909090909092,338.7070707070707,0.0,,
11.090909090909092,343.74747474747477,0.0,,
11.090909090909092,348.7878787878788,0.0,,
11.090909090909092,353.82828282828285,0.0,,
11.090909090909092,358.8686868686869,0.0,,
11.090909090909092,363.90909090909093,0.0,,
11.090909090909092,368.949494949495,0.0,,
11.090909090909092,373.989898989899,0.0,,
