period_init,v_kick,bound?,tighten?,circularize?
1.0,1.0,1.0,1.0,0.0
1.0,6.040404040404041,1.0,1.0,0.0
1.0,11.080808080808081,1.0,1.0,0.0
1.0,16.12121212121212,1.0,1.0,0.0
1.0,21.161616161616163,1.0,1.0,0.0
1.0,26.202020202020204,1.0,1.0,0.0
1.0,31.242424242424242,1.0,1.0,0.0
1.0,36.282828282828284,1.0,1.0,0.0
1.0,41.323232323232325,1.0,1.0,0.0
1.0,46.36363636363637,1.0,1.0,0.0
1.0,51.40404040404041,1.0,1.0,0.0
1.0,56.44444444444445,1.0,1.0,0.0
1.0,61.484848484848484,1.0,1.0,0.0
1.0,66.52525252525253,1.0,1.0,0.0
1.0,71.56565656565657,1.0,1.0,0.0
1.0,76.60606060606061,1.0,1.0,0.0
1.0,81.64646464646465,1.0,1.0,0.0
1.0,86.68686868686869,1.0,1.0,0.0
1.0,91.72727272727273,1.0,1.0,0.0
1.0,96.76767676767678,1.0,0.975,0.0
1.0,101.80808080808082,1.0,0.942,0.0
1.0,106.84848484848486,1.0,0.935,0.0
1.0,111.8888888888889,1.0,0.895,0.0
1.0,116.92929292929294,1.0,0.873,0.0
1.0,121.96969696969697,1.0,0.853,0.0
1.0,127.01010101010101,1.0,0.813,0.0
1.0,132.05050505050505,1.0,0.8,0.0
1.0,137.0909090909091,1.0,0.787,0.0
1.0,142.13131313131314,1.0,0.744,0.0
1.0,147.17171717171718,1.0,0.767,0.0
1.0,152.21212121212122,1.0,0.702,0.0
1.0,157.25252525252526,1.0,0.723,0.0
1.0,162.2929292929293,1.0,0.714,0.0
1.0,167.33333333333334,1.0,0.667,0.0
1.0,172.37373737373738,1.0,0.658,0.0
1.0,177.41414141414143,1.0,0.675,0.0
1.0,182.45454545454547,1.0,0.663,0.0
1.0,187.4949494949495,1.0,0.623,0.0
1.0,192.53535353535355,1.0,0.609,0.0
1.0,197.5757575757576,1.0,0.643,0.0
1.0,202.61616161616163,1.0,0.576,0.0
1.0,207.65656565656568,1.0,0.541,0.0
1.0,212.69696969696972,1.0,0.589,0.0
1.0,217.73737373737376,1.0,0.563,0.0
1.0,222.7777777777778,1.0,0.542,0.0
1.0,227.81818181818184,1.0,0.521,0.0
1.0,232.85858585858588,1.0,0.537,0.0
1.0,237.89898989898992,1.0,0.5,0.0
1.0,242.93939393939394,1.0,0.516,0.0
1.0,247.97979797979798,1.0,0.548,0.0
1.0,253.02020202020202,0.996,0.4598393574297189,0.0
1.0,258.06060606060606,0.977,0.5056294779938587,0.0
1.0,263.1010101010101,0.957,0.49738766980146293,0.0
1.0,268.14141414141415,0.945,0.5015873015873016,0.0
1.0,273.1818181818182,0.915,0.492896174863388,0.0
1.0,278.22222222222223,0.9,0.5044444444444445,0.0
1.0,283.26262626262627,0.904,0.5243362831858407,0.0
1.0,288.3030303030303,0.878,0.4908883826879271,0.0
1.0,293.34343434343435,0.858,0.5046620046620046,0.0
1.0,298.3838383838384,0.846,0.491725768321513,0.0
1.0,303.42424242424244,0.853,0.4947245017584994,0.0
1.0,308.4646464646465,0.836,0.5035885167464115,0.0
1.0,313.5050505050505,0.775,0.5032258064516129,0.0
1.0,318.54545454545456,0.748,0.4919786096256685,0.0
1.0,323.5858585858586,0.782,0.4948849104859335,0.0
1.0,328.62626262626264,0.755,0.45298013245033114,0.0
1.0,333.6666666666667,0.762,0.49081364829396323,0.0
1.0,338.7070707070707,0.723,0.49377593360995853,0.0
1.0,343.74747474747477,0.738,0.5447154471544715,0.0
1.0,348.7878787878788,0.711,0.5021097046413502,0.0
1.0,353.82828282828285,0.678,0.4882005899705015,0.0
1.0,358.8686868686869,0.712,0.4592696629213483,0.0
1.0,363.90909090909093,0.683,0.4787701317715959,0.0
1.0,368.949494949495,0.691,0.5094066570188133,0.0
1.0,373.989898989899,0.647,0.49768160741885625,0.0
1.0,379.03030303030306,0.627,0.4768740031897927,0.0
1.0,384.0707070707071,0.642,0.5109034267912772,0.0
1.0,389.11111111111114,0.629,0.48330683624801274,0.0
1.0,394.1515151515152,0.603,0.4759535655058043,0.0
1.0,399.1919191919192,0.602,0.49667774086378735,0.0
1.0,404.23232323232327,0.622,0.45980707395498394,0.0
1.0,409.2727272727273,0.587,0.48722316865417375,0.0
1.0,414.31313131313135,0.547,0.44972577696526506,0.0
1.0,419.3535353535354,0.569,0.45518453427065025,0.0
1.0,424.39393939393943,0.547,0.46983546617915906,0.0
1.0,429.4343434343435,0.515,0.42718446601941745,0.0
1.0,434.4747474747475,0.559,0.4561717352415027,0.0
1.0,439.51515151515156,0.546,0.45604395604395603,0.0
1.0,444.5555555555556,0.528,0.44886363636363635,0.0
1.0,449.59595959595964,0.514,0.45330739299610895,0.0
1.0,454.6363636363637,0.502,0.44621513944223107,0.0
1.0,459.6767676767677,0.49,0.43673469387755104,0.0
1.0,464.71717171717177,0.495,0.4666666666666667,0.0
1.0,469.7575757575758,0.466,0.4248927038626609,0.0
1.0,474.79797979797985,0.464,0.39655172413793105,0.0
1.0,479.8383838383839,0.463,0.42116630669546434,0.0
1.0,484.8787878787879,0.442,0.4321266968325792,0.0
1.0,489.9191919191919,0.462,0.4264069264069264,0.0
1.0,494.95959595959596,0.445,0.44269662921348313,0.0
1.0,500.0,0.418,0.423444976076555,0.0
11.090909090909092,1.0,1.0,1.0,0.0
11.090909090909092,6.040404040404041,1.0,1.0,0.0
11.090909090909092,11.080808080808081,1.0,1.0,0.0
11.090909090909092,16.12121212121212,1.0,1.0,0.0
11.090909090909092,21.161616161616163,1.0,1.0,0.0
11.090909090909092,26.202020202020204,1.0,1.0,0.0
11.090909090909092,31.242424242424242,1.0,1.0,0.0
11.090909090909092,36.282828282828284,1.0,1.0,0.0
11.090909090909092,41.323232323232325,1.0,1.0,0.0
11.090909090909092,46.36363636363637,1.0,0.932,0.0
11.090909090909092,51.40404040404041,1.0,0.897,0.0
11.090909090909092,56.44444444444445,1.0,0.834,0.0
11.090909090909092,61.484848484848484,1.0,0.778,0.0
11.090909090909092,66.52525252525253,1.0,0.723,0.0
11.090909090909092,71.56565656565657,1.0,0.72,0.0
11.090909090909092,76.60606060606061,1.0,0.65,0.0
11.090909090909092,81.64646464646465,1.0,0.623,0.0
11.090909090909092,86.68686868686869,1.0,0.612,0.0
11.090909090909092,91.72727272727273,1.0,0.598,0.0
11.090909090909092,96.76767676767678,1.0,0.556,0.0
11.090909090909092,101.80808080808082,1.0,0.546,0.0
11.090909090909092,106.84848484848486,1.0,0.512,0.0
11.090909090909092,111.8888888888889,1.0,0.507,0.0
11.090909090909092,116.92929292929294,0.966,0.5093167701863354,0.0
11.090909090909092,121.96969696969697,0.937,0.5005336179295624,0.0
11.090909090909092,127.01010101010101,0.88,0.48522727272727273,0.0
11.090909090909092,132.05050505050505,0.872,0.5114678899082569,0.0
11.090909090909092,137.0909090909091,0.848,0.4834905660377358,0.0
11.090909090909092,142.13131313131314,0.811,0.4907521578298397,0.0
11.090909090909092,147.17171717171718,0.773,0.5071151358344114,0.0
11.090909090909092,152.21212121212122,0.753,0.4820717131474104,0.0
11.090909090909092,157.25252525252526,0.707,0.4908062234794908,0.0
11.090909090909092,162.2929292929293,0.687,0.48034934497816595,0.0
11.090909090909092,167.33333333333334,0.684,0.5146198830409356,0.0
11.090909090909092,172.37373737373738,0.601,0.47920133111480867,0.0
11.090909090909092,177.41414141414143,0.624,0.4775641025641026,0.0
11.090909090909092,182.45454545454547,0.588,0.47619047619047616,0.0
11.090909090909092,187.4949494949495,0.601,0.5207986688851913,0.0
11.090909090909092,192.53535353535355,0.533,0.48405253283302063,0.0
11.090909090909092,197.5757575757576,0.525,0.44761904761904764,0.0
11.090909090909092,202.61616161616163,0.531,0.4406779661016949,0.0
11.090909090909092,207.65656565656568,0.44,0.3886363636363636,0.0
11.090909090909092,212.69696969696972,0.459,0.3790849673202614,0.0
11.090909090909092,217.73737373737376,0.466,0.41630901287553645,0.0
11.090909090909092,222.7777777777778,0.433,0.4295612009237875,0.0
11.090909090909092,227.81818181818184,0.417,0.37410071942446044,0.0
11.090909090909092,232.85858585858588,0.382,0.36649214659685864,0.0
11.090909090909092,237.89898989898992,0.383,0.3524804177545692,0.0
11.090909090909092,242.93939393939394,0.362,0.34806629834254144,0.0
11.090909090909092,247.97979797979798,0.345,0.34202898550724636,0.0
11.090909090909092,253.02020202020202,0.343,0.3294460641399417,0.0
11.090909090909092,258.06060606060606,0.328,0.25,0.0
11.090909090909092,263.1010101010101,0.276,0.3188405797101449,0.0
11.090909090909092,268.14141414141415,0.266,0.2593984962406015,0.0
11.090909090909092,273.1818181818182,0.277,0.24187725631768953,0.0
11.090909090909092,278.22222222222223,0.258,0.2868217054263566,0.0
11.090909090909092,283.26262626262627,0.237,0.189873417721519,0.0
11.090909090909092,288.3030303030303,0.234,0.11965811965811966,0.0
11.090909090909092,293.34343434343435,0.213,0.06103286384976526,0.0
11.090909090909092,298.3838383838384,0.216,0.05092592592592592,0.0
11.090909090909092,303.42424242424244,0.189,0.0,0.0
11.090909090909092,308.4646464646465,0.165,0.0,0.0
11.090909090909092,313.5050505050505,0.149,0.0,0.0
11.090909090909092,318.54545454545456,0.141,0.0,0.0
11.090909090909092,323.5858585858586,0.128,0.0,0.0
11.090909090909092,328.62626262626264,0.123,0.0,0.0
11.090909090909092,333.6666666666667,0.102,0.0,0.0
11.090909090909092,338.7070707070707,0.085,0.0,0.0
11.090909090909092,343.74747474747477,0.084,0.0,0.0
11.090909090909092,348.7878787878788,0.061,0.0,0.0
11.090909090909092,353.82828282828285,0.034,0.0,0.0
11.090909090909092,358.8686868686869,0.036,0.0,0.0
