period_init,v_kick,collide?,bound?
1.0,1.0,0.0,1.0
1.0,6.040404040404041,0.0,1.0
1.0,11.080808080808081,0.0,1.0
1.0,16.12121212121212,0.0,1.0
1.0,21.161616161616163,0.0,1.0
1.0,26.202020202020204,0.0,1.0
1.0,31.242424242424242,0.0,1.0
1.0,36.282828282828284,0.0,1.0
1.0,41.323232323232325,0.0,1.0
1.0,46.36363636363637,0.0,1.0
1.0,51.40404040404041,0.0,1.0
1.0,56.44444444444445,0.0,1.0
1.0,61.484848484848484,0.0,1.0
1.0,66.52525252525253,0.0,1.0
1.0,71.56565656565657,0.0,1.0
1.0,76.60606060606061,0.0,1.0
1.0,81.64646464646465,0.0,1.0
1.0,86.68686868686869,0.0,1.0
1.0,91.72727272727273,0.0,1.0
1.0,96.76767676767678,0.0,1.0
1.0,101.80808080808082,0.0,1.0
1.0,106.84848484848486,0.0,1.0
1.0,111.8888888888889,0.0,1.0
1.0,116.92929292929294,0.0,1.0
1.0,121.96969696969697,0.0,1.0
1.0,127.01010101010101,0.0,1.0
1.0,132.05050505050505,0.0,1.0
1.0,137.0909090909091,0.0,1.0
1.0,142.13131313131314,0.0,1.0
1.0,147.17171717171718,0.0,1.0
1.0,152.21212121212122,0.0,1.0
1.0,157.25252525252526,0.001,1.0
1.0,162.2929292929293,0.011,1.0
1.0,167.33333333333334,0.018,1.0
1.0,172.37373737373738,0.026,1.0
1.0,177.41414141414143,0.035,1.0
1.0,182.45454545454547,0.043,1.0
1.0,187.4949494949495,0.052,1.0
1.0,192.53535353535355,0.057,1.0
1.0,197.5757575757576,0.066,1.0
1.0,202.61616161616163,0.06,1.0
1.0,207.65656565656568,0.058,1.0
1.0,212.69696969696972,0.063,1.0
1.0,217.73737373737376,0.077,1.0
1.0,222.7777777777778,0.079,1.0
1.0,227.81818181818184,0.076,1.0
1.0,232.85858585858588,0.096,1.0
1.0,237.89898989898992,0.078,1.0
1.0,242.93939393939394,0.091,1.0
1.0,247.97979797979798,0.075,1.0
1.0,253.02020202020202,0.087,0.996
1.0,258.06060606060606,0.093,0.974
1.0,263.1010101010101,0.104,0.954
1.0,268.14141414141415,0.087,0.947
1.0,273.1818181818182,0.093,0.928
1.0,278.22222222222223,0.093,0.906
1.0,283.26262626262627,0.101,0.906
1.0,288.3030303030303,0.104,0.869
1.0,293.34343434343435,0.1,0.884
1.0,298.3838383838384,0.099,0.848
1.0,303.42424242424244,0.116,0.831
1.0,308.4646464646465,0.099,0.811
1.0,313.5050505050505,0.092,0.813
1.0,318.54545454545456,0.091,0.793
1.0,323.5858585858586,0.105,0.775
1.0,328.62626262626264,0.094,0.748
1.0,333.6666666666667,0.1,0.748
1.0,338.7070707070707,0.096,0.766
1.0,343.74747474747477,0.105,0.761
1.0,348.7878787878788,0.109,0.708
1.0,353.82828282828285,0.097,0.704
1.0,358.8686868686869,0.087,0.71
1.0,363.90909090909093,0.09,0.66
1.0,368.949494949495,0.103,0.676
1.0,373.989898989899,0.1,0.69
1.0,379.03030303030306,0.093,0.669
1.0,384.0707070707071,0.095,0.618
1.0,389.11111111111114,0.097,0.646
1.0,394.1515151515152,0.103,0.624
1.0,399.1919191919192,0.092,0.599
1.0,404.23232323232327,0.093,0.595
1.0,409.2727272727273,0.094,0.566
1.0,414.31313131313135,0.096,0.549
1.0,419.3535353535354,0.095,0.558
1.0,424.39393939393943,0.073,0.543
1.0,429.4343434343435,0.091,0.56
1.0,434.4747474747475,0.093,0.563
1.0,439.51515151515156,0.088,0.544
1.0,444.5555555555556,0.087,0.522
1.0,449.59595959595964,0.094,0.509
1.0,454.6363636363637,0.092,0.508
1.0,459.6767676767677,0.076,0.496
1.0,464.71717171717177,0.097,0.486
1.0,469.7575757575758,0.079,0.448
1.0,474.79797979797985,0.083,0.462
1.0,479.8383838383839,0.082,0.489
1.0,484.8787878787879,0.083,0.476
1.0,489.9191919191919,0.055,0.441
1.0,494.95959595959596,0.075,0.46
1.0,500.0,0.09,0.443
11.090909090909092,1.0,0.0,1.0
11.090909090909092,6.040404040404041,0.0,1.0
11.090909090909092,11.080808080808081,0.0,1.0
11.090909090909092,16.12121212121212,0.0,1.0
11.090909090909092,21.161616161616163,0.0,1.0
11.090909090909092,26.202020202020204,0.0,1.0
11.090909090909092,31.242424242424242,0.0,1.0
11.090909090909092,36.282828282828284,0.0,1.0
11.090909090909092,41.323232323232325,0.0,1.0
11.090909090909092,46.36363636363637,0.0,1.0
11.090909090909092,51.40404040404041,0.0,1.0
11.090909090909092,56.44444444444445,0.0,1.0
11.090909090909092,61.484848484848484,0.0,1.0
11.090909090909092,66.52525252525253,0.0,1.0
11.090909090909092,71.56565656565657,0.0,1.0
11.090909090909092,76.60606060606061,0.0,1.0
11.090909090909092,81.64646464646465,0.0,1.0
11.090909090909092,86.68686868686869,0.0,1.0
11.090909090909092,91.72727272727273,0.0,1.0
11.090909090909092,96.76767676767678,0.002,1.0
11.090909090909092,101.80808080808082,0.009,1.0
11.090909090909092,106.84848484848486,0.01,1.0
11.090909090909092,111.8888888888889,0.019,1.0
11.090909090909092,116.92929292929294,0.02,0.962
11.090909090909092,121.96969696969697,0.028,0.934
