period_init,v_kick,bound?,tighten?,circularize?
1.0,1.0,1.0,1.0,0.19
1.0,6.040404040404041,1.0,1.0,0.182
1.0,11.080808080808081,1.0,1.0,0.227
1.0,16.12121212121212,1.0,1.0,0.2
1.0,21.161616161616163,1.0,1.0,0.127
1.0,26.202020202020204,1.0,1.0,0.14
1.0,31.242424242424242,1.0,1.0,0.228
1.0,36.282828282828284,1.0,1.0,0.195
1.0,41.323232323232325,1.0,1.0,0.189
1.0,46.36363636363637,1.0,1.0,0.229
1.0,51.40404040404041,1.0,1.0,0.192
1.0,56.44444444444445,1.0,0.994,0.226
1.0,61.484848484848484,1.0,0.982,0.255
1.0,66.52525252525253,1.0,0.98,0.283
1.0,71.56565656565657,1.0,0.938,0.315
1.0,76.60606060606061,1.0,0.929,0.33
1.0,81.64646464646465,1.0,0.913,0.314
1.0,86.68686868686869,1.0,0.88,0.336
1.0,91.72727272727273,1.0,0.865,0.305
1.0,96.76767676767678,1.0,0.851,0.356
1.0,101.80808080808082,1.0,0.855,0.397
1.0,106.84848484848486,1.0,0.832,0.389
1.0,111.8888888888889,1.0,0.804,0.374
1.0,116.92929292929294,1.0,0.779,0.436
1.0,121.96969696969697,1.0,0.783,0.385
1.0,127.01010101010101,1.0,0.761,0.387
1.0,132.05050505050505,1.0,0.755,0.372
1.0,137.0909090909091,1.0,0.715,0.383
1.0,142.13131313131314,1.0,0.708,0.428
1.0,147.17171717171718,1.0,0.716,0.42
1.0,152.21212121212122,1.0,0.62,0.408
1.0,157.25252525252526,1.0,0.639,0.365
1.0,162.2929292929293,1.0,0.643,0.397
1.0,167.33333333333334,1.0,0.645,0.4
1.0,172.37373737373738,1.0,0.633,0.379
1.0,177.41414141414143,1.0,0.622,0.372
1.0,182.45454545454547,1.0,0.597,0.38
1.0,187.4949494949495,1.0,0.571,0.373
1.0,192.53535353535355,1.0,0.55,0.379
1.0,197.5757575757576,1.0,0.575,0.357
1.0,202.61616161616163,1.0,0.533,0.361
