period_init,v_kick,bound?,tighten?,circularize?
1.0,1.0,1.0,1.0,1.0
1.0,6.040404040404041,1.0,1.0,1.0
1.0,11.080808080808081,1.0,1.0,1.0
1.0,16.12121212121212,1.0,1.0,1.0
1.0,21.161616161616163,1.0,1.0,1.0
1.0,26.202020202020204,1.0,1.0,1.0
1.0,31.242424242424242,1.0,1.0,1.0
1.0,36.282828282828284,1.0,1.0,1.0
1.0,41.323232323232325,1.0,1.0,1.0
1.0,46.36363636363637,1.0,1.0,1.0
1.0,51.40404040404041,1.0,1.0,1.0
1.0,56.44444444444445,1.0,1.0,1.0
1.0,61.484848484848484,1.0,1.0,1.0
1.0,66.52525252525253,1.0,1.0,1.0
1.0,71.56565656565657,1.0,1.0,1.0
1.0,76.60606060606061,1.0,1.0,1.0
1.0,81.64646464646465,1.0,1.0,1.0
1.0,86.68686868686869,1.0,1.0,1.0
1.0,91.72727272727273,1.0,1.0,1.0
1.0,96.76767676767678,1.0,1.0,1.0
1.0,101.80808080808082,1.0,1.0,1.0
1.0,106.84848484848486,1.0,1.0,1.0
1.0,111.8888888888889,1.0,1.0,1.0
1.0,116.92929292929294,1.0,1.0,1.0
1.0,121.96969696969697,1.0,1.0,0.985
1.0,127.01010101010101,1.0,1.0,0.966
1.0,132.05050505050505,1.0,1.0,0.953
1.0,137.0909090909091,1.0,1.0,0.938
1.0,142.13131313131314,1.0,1.0,0.898
1.0,147.17171717171718,1.0,1.0,0.901
1.0,152.21212121212122,1.0,1.0,0.902
1.0,157.25252525252526,1.0,1.0,0.889
1.0,162.2929292929293,1.0,1.0,0.878
1.0,167.33333333333334,1.0,0.978,0.84
1.0,172.37373737373738,1.0,0.961,0.801
1.0,177.41414141414143,1.0,0.937,0.772
1.0,182.45454545454547,1.0,0.929,0.762
1.0,187.4949494949495,1.0,0.92,0.749
1.0,192.53535353535355,1.0,0.906,0.708
1.0,197.5757575757576,1.0,0.895,0.654
1.0,202.61616161616163,1.0,0.845,0.657
1.0,207.65656565656568,1.0,0.857,0.641
1.0,212.69696969696972,1.0,0.852,0.619
